date_and_time,number_of_taxi_trips,trend,seasonal_24,seasonal_168,resid,temperature,precipitation,wind_speed,precip_log,gamm_pred,ar_resid_pred,gammm_pred
2024-01-23 05:00:00,148,687.3303066617615,-558.455862877869,21.59056757706472,-2.4650113609571918,0.6,0.3,7.6,0.262364264467491,14.527173800466471,9.830481198177887,24.357654998644357
2024-01-23 06:00:00,403,687.2033449663576,-391.20337455648416,67.88710744915764,39.112922140968976,0.6,0.4,7.6,0.33647223662121295,14.196057286094685,-12.945573997571213,1.2504832885234727
2024-01-23 07:00:00,767,687.0570905784824,-133.68243872728516,181.81805120498032,31.807296943822394,0.6,0.6,5.4,0.4700036292457356,5.403809259890338,18.947290136283907,24.351099396174245
2024-01-23 08:00:00,1107,686.8915211623978,142.69913994469232,259.65621116963626,17.753127723273565,0.6,0.3,9.4,0.262364264467491,15.932435090864772,19.4073855764866,35.339820667351376
2024-01-23 09:00:00,1315,686.7066250955689,276.8932544394894,238.83155236268212,112.56856810225963,0.6,0.5,9.4,0.4054651081081644,13.87713238894159,0.9527343691923105,14.8298667581339
2024-01-23 10:00:00,1137,686.502400496692,271.3043764844764,159.20534277905656,19.987880239775222,0.6,1.3,9.4,0.832909122935104,-14.577896556692178,73.96740676340286,59.38951020671068
2024-01-23 11:00:00,1200,686.278862445897,318.5005140917396,125.79194639494806,69.42867706741538,0.6,1.0,11.2,0.6931471805599453,-4.201734494878579,24.37502201473987,20.17328751986129
2024-01-23 12:00:00,1354,686.0360497065217,397.0648893543413,127.25349568189286,143.64556525724424,1.1,1.0,14.8,0.6931471805599453,-7.7855156868077415,54.66600396363571,46.88048827682797
2024-01-23 13:00:00,1281,685.7740412554559,403.60232059777564,114.04724802312812,77.5763901236403,1.1,1.5,14.8,0.9162907318741551,-23.8380089015089,112.38847813946718,88.55046923795828
2024-01-23 14:00:00,1247,685.4929744762825,437.5128937457574,82.65735028618333,41.336781491776605,1.1,0.8,7.6,0.5877866649021191,0.6772598808521337,73.67240950662897,74.3496693874811
2024-01-23 15:00:00,1279,685.1930624033901,451.20425895358795,96.71793477693905,45.884743866082886,1.1,0.8,9.4,0.5877866649021191,2.0825211712504412,28.901400030455463,30.983921201705904
2024-01-23 16:00:00,1318,684.8745632709674,489.33458046962994,120.16062060811458,23.630235651287876,1.7,0.5,5.4,0.4054651081081644,4.654492134981943,32.20656239565222,36.86105453063416
2024-01-23 17:00:00,1362,684.5377528611353,539.144234220185,122.54383437230867,15.774178546371104,1.7,0.8,7.6,0.5877866649021191,-1.1931596859144804,13.543339848226896,12.350180162312416
2024-01-23 18:00:00,1297,684.1829339006077,502.47118427820755,57.199927890124336,53.145953931060376,1.7,0.3,7.6,0.262364264467491,10.971650974604628,12.425234751186103,23.39688572579073
2024-01-23 19:00:00,1115,683.8104249028297,364.1237172177267,4.3022454702329345,62.76361240921062,2.2,0.3,7.6,0.262364264467491,9.59568537878085,31.356018547895907,40.95170392667676
2024-01-23 20:00:00,806,683.4205335630185,114.09030789395392,-31.284793370053013,39.77395191308051,2.2,0.0,0.0,0.0,-27.09881090626358,39.205025522019945,12.106214615756365
2024-01-23 21:00:00,534,683.0135623682655,-90.04788114536098,-16.897455301723877,-42.06822592118067,2.2,0.0,0.0,0.0,-27.09881090626358,49.308798533283294,22.209987627019714
2024-01-23 22:00:00,391,682.5898187412504,-247.42999490499338,-7.313037350799444,-36.84678648545764,2.2,0.3,0.0,0.262364264467491,-17.239607248178526,-12.268021603820191,-29.507628851998717
2024-01-23 23:00:00,238,682.1496159505655,-364.84802140393305,-34.833943103021454,-44.467651443610976,2.2,0.0,0.0,0.0,-27.09881090626358,-14.467077621028153,-41.56588852729173
2024-01-24 00:00:00,144,681.6932660539354,-479.14762702046465,-44.65980277191333,-13.885836261557529,2.2,0.0,7.6,0.0,-0.2635182793042077,-12.716407321430493,-12.9799256007347
2024-01-24 01:00:00,50,681.221061756046,-569.5113149547615,-46.40033549594528,-15.309411305339268,2.2,0.0,7.6,0.0,-0.2635182793042077,-9.942336496243716,-10.205854775547923
2024-01-24 02:00:00,42,680.7332834577458,-622.2226643264852,-36.85039673543806,20.33977760417747,1.7,0.0,9.4,0.0,2.5177086069178856,-11.068202466095656,-8.55049385917777
2024-01-24 03:00:00,66,680.2302048491844,-628.7567510361283,-10.229545643193863,24.756091830137848,1.7,0.0,0.0,0.0,-25.722845310439794,13.597430714766759,-12.125414595673035
